Pre-landing check complete. Here's the summary:

---

**17 review findings** created under epic `td-a3dd21` (Compliance Framework Settings):

| Priority | ID | Type | Title |
|---|---|---|---|
| **P1** | td-3d9b79 | bug | Re-verify can_edit? on mutating LiveComponent events |
| **P1** | td-c02549 | bug | Guard against nil membership in ComplianceLive mount |
| **P1** | td-7d275f | bug | Fix crafted-event test to actually send toggle event as member |
| **P1** | td-8185ae | task | Add tests for dirty? state tracking on Save button |
| **P2** | td-10e372 | bug | Gate update_field event on can_edit? in FrameworkCardComponent |
| **P2** | td-14b24c | bug | Fix maybe_put_integer to discard invalid strings |
| **P2** | td-8ba1fa | bug | Reset form_data in update/2 when association identity changes |
| **P2** | td-facaf6 | chore | Add missing @impl true on handle_event clauses |
| **P2** | td-22815e | chore | Use ~p sigil for compliance sidebar href |
| **P2** | td-7bca60 | bug | Add upper bounds validation on config override fields |
| **P2** | td-4fb8f4 | chore | Simplify Map.take to atom keys only |
| **P2** | td-8dea52 | task | Add LiveView tests for additional_required_fields |
| **P2** | td-4046d6 | bug | Canonicalize ISO 27001 registry to single key |
| **P3** | td-920569 | chore | Pass association directly in framework_updated message |
| **P3** | td-7b27a7 | task | Add flash message assertions to LiveView tests |
| **P3** | td-0b84f5 | task | Add test for effective_config/2 with empty overrides |
| **P4** | td-56a7c3 | task | Add test for count_active_frameworks/1 |

**Breakdown:** 4 Critical (P1), 9 Warnings (P2), 4 Suggestions (P3/P4). Top concerns are authorization enforcement (stale `can_edit?`, nil membership crash) and test gaps (crafted-event test, dirty? tracking). Run `/prepare-for-landing` to fix these.
